01
YELLOW HIPPO	YELLOW CAMEL	BLUE HIPPO	RED CAMEL
GREEN LION	YELLOW GIRAFFE	BLUE CAMEL	GREEN CAMEL
15
GREEN GIRAFFE	BLUE GIRAFFE	BLUE HIPPO	BLUE CAMEL
GREEN HIPPO	YELLOW CAMEL	YELLOW GIRAFFE	RED CAMEL
RED LION	YELLOW HIPPO	YELLOW LION	RED GIRAFFE
BLUE LION	GREEN CAMEL	GREEN LION	RED HIPPO
16
YELLOW LION	RED CAMEL	BLUE GIRAFFE	YELLOW GIRAFFE
RED GIRAFFE	GREEN CAMEL	YELLOW HIPPO	YELLOW CAMEL
GREEN GIRAFFE	RED LION	GREEN LION	BLUE HIPPO
BLUE LION	RED HIPPO	GREEN HIPPO	BLUE CAMEL
17
RED CAMEL	YELLOW LION	YELLOW HIPPO	RED LION
GREEN HIPPO	BLUE CAMEL	RED HIPPO	GREEN LION
BLUE LION	BLUE HIPPO	GREEN GIRAFFE	RED GIRAFFE
YELLOW GIRAFFE	BLUE GIRAFFE	GREEN CAMEL	YELLOW CAMEL
18
GREEN GIRAFFE	GREEN LION	YELLOW GIRAFFE	YELLOW HIPPO
YELLOW LION	GREEN HIPPO	BLUE GIRAFFE	BLUE LION
RED HIPPO	BLUE HIPPO	RED GIRAFFE	RED LION
RED CAMEL	GREEN CAMEL	YELLOW CAMEL	BLUE CAMEL
19
YELLOW LION	RED LION	RED HIPPO	GREEN LION
RED GIRAFFE	BLUE HIPPO	RED CAMEL	GREEN GIRAFFE
YELLOW GIRAFFE	YELLOW CAMEL	YELLOW HIPPO	BLUE CAMEL
GREEN CAMEL	BLUE GIRAFFE	BLUE LION	GREEN HIPPO
20
BLUE GIRAFFE	YELLOW GIRAFFE	RED LION	YELLOW LION
YELLOW HIPPO	RED GIRAFFE	YELLOW CAMEL	GREEN LION
BLUE CAMEL	RED HIPPO	GREEN CAMEL	BLUE LION
GREEN GIRAFFE	RED CAMEL	BLUE HIPPO	GREEN HIPPO
21
YELLOW LION	BLUE LION	GREEN LION	BLUE HIPPO
RED HIPPO	BLUE CAMEL	RED GIRAFFE	GREEN HIPPO
BLUE GIRAFFE	RED CAMEL	YELLOW CAMEL	YELLOW GIRAFFE
RED LION	GREEN CAMEL	YELLOW HIPPO	GREEN GIRAFFE
22
YELLOW HIPPO	YELLOW LION	GREEN HIPPO	GREEN GIRAFFE
BLUE CAMEL	RED LION	YELLOW GIRAFFE	GREEN CAMEL
BLUE LION	RED CAMEL	BLUE HIPPO	BLUE GIRAFFE
RED GIRAFFE	YELLOW CAMEL	RED HIPPO	GREEN LION
23
YELLOW HIPPO	YELLOW LION	RED HIPPO	RED CAMEL
BLUE GIRAFFE	GREEN GIRAFFE	BLUE LION	GREEN HIPPO
RED GIRAFFE	YELLOW CAMEL	BLUE HIPPO	RED LION
BLUE CAMEL	YELLOW GIRAFFE	GREEN CAMEL	GREEN LION
24
RED HIPPO	YELLOW HIPPO	GREEN CAMEL	RED LION
GREEN HIPPO	BLUE CAMEL	YELLOW CAMEL	BLUE GIRAFFE
YELLOW LION	BLUE HIPPO	YELLOW GIRAFFE	GREEN GIRAFFE
RED CAMEL	BLUE LION	RED GIRAFFE	GREEN LION
25
BLUE HIPPO	GREEN CAMEL	GREEN GIRAFFE	YELLOW LION
RED HIPPO	GREEN LION	YELLOW HIPPO	YELLOW GIRAFFE
RED GIRAFFE	GREEN HIPPO	YELLOW CAMEL	BLUE CAMEL
BLUE LION	BLUE GIRAFFE	RED LION	RED CAMEL
26
BLUE GIRAFFE	BLUE CAMEL	GREEN CAMEL	GREEN LION
YELLOW CAMEL	GREEN GIRAFFE	YELLOW LION	RED GIRAFFE
BLUE HIPPO	RED LION	YELLOW HIPPO	RED HIPPO
RED CAMEL	YELLOW GIRAFFE	BLUE LION	GREEN HIPPO
27
RED HIPPO	YELLOW GIRAFFE	BLUE GIRAFFE	GREEN HIPPO
YELLOW HIPPO	YELLOW CAMEL	BLUE LION	RED LION
YELLOW LION	RED GIRAFFE	GREEN LION	BLUE CAMEL
BLUE HIPPO	GREEN GIRAFFE	RED CAMEL	GREEN CAMEL
28
BLUE CAMEL	BLUE HIPPO	GREEN LION	YELLOW GIRAFFE
RED CAMEL	YELLOW CAMEL	GREEN CAMEL	GREEN HIPPO
YELLOW LION	RED LION	GREEN GIRAFFE	BLUE GIRAFFE
RED GIRAFFE	YELLOW HIPPO	RED HIPPO	BLUE LION
29
GREEN GIRAFFE	RED LION	RED GIRAFFE	GREEN LION
YELLOW CAMEL	BLUE CAMEL	RED HIPPO	YELLOW LION
GREEN CAMEL	YELLOW HIPPO	RED CAMEL	BLUE HIPPO
BLUE GIRAFFE	GREEN HIPPO	BLUE LION	YELLOW GIRAFFE
30
GREEN CAMEL	BLUE HIPPO	BLUE LION	BLUE CAMEL
GREEN GIRAFFE	YELLOW LION	GREEN HIPPO	YELLOW GIRAFFE
BLUE GIRAFFE	RED HIPPO	GREEN LION	YELLOW HIPPO
RED CAMEL	YELLOW CAMEL	RED GIRAFFE	RED LION
31
RED LION	GREEN CAMEL	GREEN HIPPO	BLUE LION
RED HIPPO	BLUE CAMEL	YELLOW HIPPO	RED GIRAFFE
RED CAMEL	GREEN GIRAFFE	YELLOW CAMEL	BLUE GIRAFFE
YELLOW GIRAFFE	YELLOW LION	GREEN LION	BLUE HIPPO
32
BLUE HIPPO	GREEN HIPPO	YELLOW HIPPO	GREEN CAMEL
RED HIPPO	RED LION	RED CAMEL	BLUE GIRAFFE
YELLOW GIRAFFE	BLUE LION	YELLOW LION	BLUE CAMEL
GREEN LION	RED GIRAFFE	YELLOW CAMEL	GREEN GIRAFFE
33
RED HIPPO	YELLOW LION	BLUE LION	BLUE GIRAFFE
GREEN GIRAFFE	GREEN HIPPO	GREEN LION	BLUE CAMEL
RED CAMEL	GREEN CAMEL	RED GIRAFFE	YELLOW CAMEL
YELLOW GIRAFFE	BLUE HIPPO	RED LION	YELLOW HIPPO
34
GREEN GIRAFFE	RED CAMEL	BLUE GIRAFFE	YELLOW GIRAFFE
RED LION	BLUE LION	GREEN CAMEL	GREEN HIPPO
BLUE CAMEL	RED HIPPO	YELLOW LION	GREEN LION
YELLOW HIPPO	YELLOW CAMEL	BLUE HIPPO	RED GIRAFFE
35
YELLOW HIPPO	BLUE CAMEL	YELLOW CAMEL	RED CAMEL
BLUE HIPPO	RED LION	GREEN GIRAFFE	GREEN CAMEL
BLUE GIRAFFE	GREEN HIPPO	YELLOW LION	GREEN LION
RED HIPPO	YELLOW GIRAFFE	RED GIRAFFE	BLUE LION
36
YELLOW GIRAFFE	RED LION	RED HIPPO	GREEN HIPPO
YELLOW CAMEL	GREEN GIRAFFE	BLUE HIPPO	RED CAMEL
YELLOW HIPPO	GREEN LION	BLUE LION	YELLOW LION
BLUE CAMEL	BLUE GIRAFFE	RED GIRAFFE	GREEN CAMEL
37
GREEN GIRAFFE	YELLOW GIRAFFE	BLUE CAMEL	RED LION
GREEN CAMEL	BLUE GIRAFFE	GREEN LION	YELLOW CAMEL
RED GIRAFFE	YELLOW LION	RED CAMEL	GREEN HIPPO
BLUE LION	BLUE HIPPO	YELLOW HIPPO	RED HIPPO
38
BLUE HIPPO	BLUE LION	RED HIPPO	GREEN LION
RED LION	YELLOW CAMEL	BLUE GIRAFFE	GREEN GIRAFFE
YELLOW LION	GREEN CAMEL	YELLOW HIPPO	RED GIRAFFE
YELLOW GIRAFFE	GREEN HIPPO	RED CAMEL	BLUE CAMEL
39
YELLOW HIPPO	RED CAMEL	YELLOW GIRAFFE	RED LION
GREEN GIRAFFE	YELLOW LION	GREEN CAMEL	BLUE CAMEL
RED GIRAFFE	BLUE HIPPO	YELLOW CAMEL	GREEN LION
RED HIPPO	GREEN HIPPO	BLUE GIRAFFE	BLUE LION
40
BLUE LION	BLUE GIRAFFE	YELLOW LION	GREEN CAMEL
RED GIRAFFE	BLUE HIPPO	RED LION	BLUE CAMEL
GREEN GIRAFFE	GREEN LION	YELLOW GIRAFFE	YELLOW HIPPO
GREEN HIPPO	RED CAMEL	RED HIPPO	YELLOW CAMEL
41
RED LION	YELLOW CAMEL	RED CAMEL	BLUE HIPPO
GREEN CAMEL	GREEN GIRAFFE	BLUE CAMEL	GREEN HIPPO
YELLOW HIPPO	RED GIRAFFE	BLUE LION	YELLOW GIRAFFE
GREEN LION	RED HIPPO	YELLOW LION	BLUE GIRAFFE
42
BLUE LION	RED LION	YELLOW GIRAFFE	GREEN CAMEL
RED CAMEL	BLUE HIPPO	GREEN LION	BLUE CAMEL
YELLOW LION	RED GIRAFFE	GREEN GIRAFFE	YELLOW CAMEL
GREEN HIPPO	YELLOW HIPPO	RED HIPPO	BLUE GIRAFFE
43
GREEN GIRAFFE	GREEN LION	YELLOW HIPPO	BLUE LION
RED HIPPO	BLUE GIRAFFE	GREEN HIPPO	RED CAMEL
RED GIRAFFE	GREEN CAMEL	YELLOW LION	BLUE CAMEL
YELLOW CAMEL	RED LION	YELLOW GIRAFFE	BLUE HIPPO
44
GREEN CAMEL	RED GIRAFFE	RED HIPPO	YELLOW LION
BLUE GIRAFFE	YELLOW CAMEL	GREEN LION	YELLOW HIPPO
RED LION	BLUE HIPPO	GREEN HIPPO	BLUE CAMEL
YELLOW GIRAFFE	GREEN GIRAFFE	RED CAMEL	BLUE LION
45
BLUE GIRAFFE	RED CAMEL	RED GIRAFFE	YELLOW GIRAFFE
BLUE CAMEL	GREEN HIPPO	BLUE LION	GREEN GIRAFFE
GREEN LION	GREEN CAMEL	RED HIPPO	YELLOW HIPPO
RED LION	YELLOW LION	YELLOW CAMEL	BLUE HIPPO
46
YELLOW HIPPO	YELLOW LION	GREEN HIPPO	RED LION
GREEN GIRAFFE	BLUE HIPPO	RED GIRAFFE	RED HIPPO
RED CAMEL	YELLOW CAMEL	YELLOW GIRAFFE	GREEN LION
BLUE GIRAFFE	BLUE LION	GREEN CAMEL	BLUE CAMEL
47
BLUE CAMEL	GREEN HIPPO	YELLOW GIRAFFE	RED CAMEL
YELLOW HIPPO	RED GIRAFFE	BLUE LION	RED LION
GREEN GIRAFFE	BLUE GIRAFFE	RED HIPPO	YELLOW LION
BLUE HIPPO	GREEN LION	YELLOW CAMEL	GREEN CAMEL
48
GREEN GIRAFFE	RED LION	YELLOW LION	BLUE CAMEL
GREEN CAMEL	BLUE LION	RED HIPPO	YELLOW CAMEL
BLUE HIPPO	RED GIRAFFE	GREEN HIPPO	YELLOW GIRAFFE
GREEN LION	YELLOW HIPPO	RED CAMEL	BLUE GIRAFFE
49
YELLOW CAMEL	YELLOW GIRAFFE	RED GIRAFFE	RED LION
GREEN GIRAFFE	YELLOW LION	GREEN CAMEL	YELLOW HIPPO
RED CAMEL	BLUE GIRAFFE	BLUE CAMEL	BLUE HIPPO
RED HIPPO	GREEN HIPPO	GREEN LION	BLUE LION
50
GREEN GIRAFFE	RED CAMEL	YELLOW HIPPO	BLUE LION
YELLOW LION	RED HIPPO	RED GIRAFFE	BLUE CAMEL
GREEN CAMEL	YELLOW GIRAFFE	BLUE GIRAFFE	RED LION
YELLOW CAMEL	GREEN HIPPO	GREEN LION	BLUE HIPPO
51
YELLOW LION	BLUE LION	BLUE GIRAFFE	GREEN CAMEL
RED GIRAFFE	GREEN GIRAFFE	RED HIPPO	YELLOW HIPPO
RED LION	YELLOW GIRAFFE	RED CAMEL	BLUE HIPPO
GREEN HIPPO	YELLOW CAMEL	GREEN LION	BLUE CAMEL
52
RED CAMEL	BLUE GIRAFFE	YELLOW CAMEL	RED HIPPO
YELLOW LION	YELLOW GIRAFFE	RED GIRAFFE	GREEN GIRAFFE
GREEN HIPPO	GREEN LION	RED LION	BLUE CAMEL
BLUE LION	YELLOW HIPPO	GREEN CAMEL	BLUE HIPPO
53
GREEN LION	YELLOW GIRAFFE	RED GIRAFFE	GREEN GIRAFFE
RED HIPPO	GREEN CAMEL	BLUE CAMEL	YELLOW CAMEL
RED CAMEL	YELLOW LION	YELLOW HIPPO	RED LION
BLUE HIPPO	BLUE LION	BLUE GIRAFFE	GREEN HIPPO
54
RED HIPPO	YELLOW LION	GREEN CAMEL	GREEN HIPPO
YELLOW CAMEL	RED CAMEL	RED LION	YELLOW GIRAFFE
GREEN GIRAFFE	GREEN LION	BLUE CAMEL	YELLOW HIPPO
BLUE LION	BLUE GIRAFFE	BLUE HIPPO	RED GIRAFFE
55
BLUE GIRAFFE	BLUE HIPPO	BLUE LION	YELLOW HIPPO
RED LION	GREEN CAMEL	YELLOW GIRAFFE	GREEN LION
YELLOW LION	GREEN GIRAFFE	RED HIPPO	BLUE CAMEL
RED GIRAFFE	RED CAMEL	YELLOW CAMEL	GREEN HIPPO
56
RED GIRAFFE	BLUE HIPPO	GREEN LION	RED CAMEL
YELLOW HIPPO	BLUE GIRAFFE	BLUE CAMEL	YELLOW CAMEL
GREEN CAMEL	GREEN HIPPO	YELLOW LION	RED LION
YELLOW GIRAFFE	BLUE LION	RED HIPPO	GREEN GIRAFFE
57
YELLOW CAMEL	RED LION	RED HIPPO	BLUE LION
YELLOW GIRAFFE	RED GIRAFFE	RED CAMEL	YELLOW HIPPO
BLUE CAMEL	BLUE HIPPO	GREEN CAMEL	GREEN HIPPO
GREEN GIRAFFE	GREEN LION	YELLOW LION	BLUE GIRAFFE
58
BLUE HIPPO	BLUE GIRAFFE	GREEN GIRAFFE	GREEN HIPPO
YELLOW CAMEL	YELLOW HIPPO	GREEN LION	BLUE LION
BLUE CAMEL	RED GIRAFFE	GREEN CAMEL	YELLOW GIRAFFE
YELLOW LION	RED CAMEL	RED HIPPO	RED LION
59
BLUE GIRAFFE	RED GIRAFFE	RED CAMEL	RED HIPPO
BLUE LION	YELLOW GIRAFFE	YELLOW CAMEL	BLUE CAMEL
GREEN LION	YELLOW LION	GREEN HIPPO	BLUE HIPPO
YELLOW HIPPO	GREEN CAMEL	RED LION	GREEN GIRAFFE
60
BLUE CAMEL	RED GIRAFFE	BLUE GIRAFFE	YELLOW GIRAFFE
GREEN LION	YELLOW LION	GREEN GIRAFFE	RED LION
BLUE LION	BLUE HIPPO	YELLOW HIPPO	YELLOW CAMEL
GREEN HIPPO	RED HIPPO	RED CAMEL	GREEN CAMEL 
